ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err,im_expnum
0,3460,1472,3,56341.21111,30.15,21.27,5.84,2.4,9,0,9.232e-07,2.534e-07,23.987,0.298053,ec0915.130218.178843_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,0,i,TEMPLATE,t,1.0887,1.315,0.095,3.788,23.178,1140.0,0.9232,0.25339999999999996,178843
0,3460,1472,3,56341.216066,30.15,27.49,5.83,0.85,9,0,1.193e-06,2.53e-07,23.708,0.230223,ec0915.130218.178844_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,1,i,TEMPLATE,t,1.0909,1.285,0.071,4.188,23.108,1122.0,1.193,0.253,178844
0,3460,1472,3,56341.219,30.15,29.74,5.11,1.71,9,0,1.29e-06,2.219e-07,23.623,0.186711,ec0915.130218.178845_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,2,i,TEMPLATE,t,1.0905,1.276,0.07,4.035,23.125,1138.0,1.29,0.2219,178845
0,3460,1472,3,56343.220957,30.15,32.77,6.27,2.12,9,0,1.422e-06,2.719e-07,23.518,0.207616,ec0915.130220.179486_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,5,i,TEMPLATE,t,1.1041,1.281,0.078,4.009,23.064,1317.0,1.422,0.2719,179486
0,3460,1472,3,56343.222439,30.15,37.24,5.86,2.58,9,0,1.616e-06,2.545e-07,23.379,0.170997,ec0915.130220.179487_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,6,i,TEMPLATE,t,1.101,1.276,0.071,4.075,23.029,1337.0,1.616,0.2545,179487
0,3460,1472,3,56360.212694,30.15,41.71,5.35,1.75,9,0,1.81e-06,2.322e-07,23.256,0.139261,ec0915.130309.184934_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,8,i,TEMPLATE,t,1.0807,1.473,0.124,3.407,23.354,1031.0,1.81,0.2322,184934
0,3460,1472,3,56402.978833,30.15,28.16,11.15,1.75,9,0,1.222e-06,4.841e-07,,,ec0915.130420.199841_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,9,i,TEMPLATE,t,0.8679,1.175,0.081,4.0,22.268,3657.0,1.222,0.4841,199841
0,3460,1472,3,56402.980332,30.15,27.69,9.5,0.57,9,0,1.201e-06,4.121e-07,,,ec0915.130420.199842_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,10,i,TEMPLATE,t,0.8909,1.269,0.092,3.703,22.463,3208.0,1.201,0.41209999999999997,199842
0,3460,1472,3,56416.961472,30.15,33.82,7.3,0.93,9,0,1.468e-06,3.169e-07,23.484,0.234481,ec0915.130504.203991_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,11,i,TEMPLATE,t,1.0877,1.373,0.063,4.91,22.467,2463.0,1.468,0.31689999999999996,203991
0,3460,1472,3,56416.962981,30.15,31.27,7.3,1.84,9,0,1.357e-06,3.166e-07,23.569,0.25332,ec0915.130504.203992_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,12,i,TEMPLATE,t,1.0854,1.18,0.048,5.648,22.341,2472.0,1.357,0.3166,203992
0,3460,1472,3,56418.975542,30.15,24.95,6.92,0.3,9,0,1.083e-06,3.002e-07,23.814,0.300995,ec0915.130506.204628_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,13,i,TEMPLATE,t,1.0858,1.094,0.062,4.477,22.703,2036.0,1.083,0.3002,204628
0,3460,1472,3,56487.986817,30.15,2.25,6.41,1.67,9,0,9.758e-08,2.784e-07,,,ec0915.130714.218756_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,15,i,TEMPLATE,t,1.067,1.218,0.06,4.218,22.758,1789.0,0.09758,0.2784,218756
0,3460,1472,3,56488.986801,30.15,0.24,7.39,0.84,9,0,1.055e-08,3.206e-07,,,ec0915.130715.219200_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,17,i,TEMPLATE,t,1.0788,1.257,0.086,3.54,22.908,1897.0,0.01055,0.3206,219200
0,3460,1472,3,56489.01172,30.15,1.89,6.27,1.86,9,0,8.21e-08,2.723e-07,,,ec0915.130716.219212_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,19,i,TEMPLATE,t,1.0712,1.236,0.077,3.632,22.85,1876.0,0.0821,0.27230000000000004,219212
0,3460,1472,3,56612.294949,30.15,-17.98,7.69,1.04,9,0,-7.804e-07,3.338e-07,,,ec0915.131116.254777_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,21,i,TEMPLATE,t,1.0718,1.296,0.061,5.351,22.272,2923.0,-0.7804,0.3338,254777
0,3460,1472,3,56612.305456,30.15,-4.34,7.82,1.15,9,0,-1.885e-07,3.393e-07,,,ec0915.131116.254782_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,22,i,TEMPLATE,t,1.0816,1.291,0.06,5.466,22.302,2770.0,-0.1885,0.3393,254782
0,3460,1472,3,56668.209974,30.15,-0.57,5.71,0.75,9,0,-2.475e-08,2.477e-07,,,ec0915.140111.273123_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,24,i,TEMPLATE,t,1.1057,1.385,0.079,4.036,22.952,1534.0,-0.02475,0.24769999999999998,273123
0,3460,1472,3,56668.218307,30.15,-6.68,5.97,0.92,9,0,-2.901e-07,2.589e-07,,,ec0915.140111.273127_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,26,i,TEMPLATE,t,1.1096,1.395,0.09,4.101,22.91,1448.0,-0.29009999999999997,0.2589,273127
