ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err,im_expnum,g_ixs_flag,g_ims_flag
0,2069,2290,3,56255.304405,30.494,-1.37,5.89,1.13,9,9,-4.341e-08,1.863e-07,,,ec0915.121124.155038_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,0,g,TEMPLATE,t,0.5692,1.292,0.087,4.522,23.07,451.0,-0.04341,0.1863,155038,True,True
0,2069,2290,3,56255.3059,30.494,16.06,5.75,2.23,9,9,5.076e-07,1.819e-07,,,ec0915.121124.155039_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,1,g,TEMPLATE,t,0.57,1.282,0.08,4.591,23.052,463.0,0.5076,0.1819,155039,True,True
0,2069,2290,3,56341.278127,30.494,1.08,3.74,0.64,9,9,3.418e-08,1.183e-07,,,ec0915.130218.178882_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,7,g,TEMPLATE,t,1.2445,1.383,0.123,4.517,23.591,815.0,0.03418,0.1182999999999999,178882,True,True
0,2069,2290,3,56341.28397,30.494,-7.77,4.05,1.68,9,9,-2.455e-07,1.279e-07,,,ec0915.130218.178883_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,8,g,TEMPLATE,t,1.2422,1.28,0.052,5.803,23.316,814.0,-0.2455,0.1279,178883,True,True
0,2069,2290,3,56341.286605,30.494,13.97,3.49,1.37,9,9,4.417e-07,1.103e-07,24.787,0.271055,ec0915.130218.178884_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,9,g,TEMPLATE,t,1.2456,1.339,0.088,5.206,23.391,833.0,0.4417,0.1103,178884,True,True
0,2069,2290,3,56418.9714,30.494,10.96,4.51,0.66,9,9,3.465e-07,1.427e-07,,,ec0915.130506.204626_ooi_g_v1_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,23,g,TEMPLATE,t,1.2265,1.068,0.105,5.309,23.266,1125.0,0.3465,0.1427,204626,True,True
0,2069,2290,3,56487.982626,30.494,12.59,4.64,1.14,9,9,3.98e-07,1.468e-07,,,ec0915.130714.218754_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,27,g,TEMPLATE,t,1.2301,1.35,0.103,4.732,23.268,1307.0,0.3979999999999999,0.1467999999999999,218754,True,True
0,2069,2290,3,56488.982674,30.494,7.76,4.77,2.23,9,9,2.453e-07,1.509e-07,,,ec0915.130715.219198_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,31,g,TEMPLATE,t,1.2281,1.339,0.103,4.401,23.184,1684.0,0.2453,0.1509,219198,True,True
0,2069,2290,3,56489.007577,30.494,-9.14,5.14,1.7,9,9,-2.889e-07,1.625e-07,,,ec0915.130716.219210_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,35,g,TEMPLATE,t,1.2033,1.326,0.089,4.635,23.072,1738.0,-0.2889,0.1625,219210,True,True
0,2069,2290,3,56612.301256,30.494,0.65,10.48,0.94,9,9,2.039e-08,3.314e-07,,,ec0915.131116.254780_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,40,g,TEMPLATE,t,1.1829,1.306,0.071,6.41,22.021,6533.0,0.02039,0.3314,254780,True,True
0,2069,2290,3,56668.205828,30.494,-10.84,6.11,0.72,9,9,-3.428e-07,1.93e-07,,,ec0915.140111.273121_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,44,g,TEMPLATE,t,1.2171,1.365,0.079,4.761,22.973,2290.0,-0.3428,0.193,273121,True,True
0,2069,2290,3,56668.214154,30.494,,,,0,0,,,,,ec0915.140111.273125_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,48,g,TEMPLATE,t,1.2205,1.354,0.07,5.366,22.831,2171.0,,,273125,False,True
0,2069,2290,3,56676.353704,30.494,-18.39,7.56,1.52,9,9,-5.813e-07,2.388e-07,,,ec0915.140119.275865_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,64,g,TEMPLATE,t,1.1855,1.329,0.078,4.735,22.63,3761.0,-0.5813,0.2387999999999999,275865,True,True
0,2069,2290,3,56703.182058,30.494,-6.33,11.9,1.37,9,9,-2.002e-07,3.76e-07,,,ec0915.140215.285236_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,70,g,TEMPLATE,t,1.161,1.319,0.064,5.562,22.075,7845.0,-0.2002,0.376,285236,True,True
0,2069,2290,3,56703.18767,30.494,,,,0,0,,,,,ec0915.140215.285239_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,73,g,TEMPLATE,t,1.1573,1.32,0.064,5.923,22.014,7752.0,,,285239,False,True
0,2069,2290,3,57050.236498,30.494,-1.97,5.19,0.66,9,9,-6.217e-08,1.64e-07,,,ec0915.150128.403908_ooi_g_v1_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,115,g,TEMPLATE,t,1.06,0.875,0.073,4.097,23.285,1001.0,-0.0621699999999999,0.164,403908,True,True
0,2069,2290,3,57053.234882,30.494,13.11,8.13,0.25,9,9,4.144e-07,2.568e-07,,,ec0915.150131.404890_ooi_g_v1_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,119,g,TEMPLATE,t,1.1269,1.041,0.06,3.968,22.824,2749.0,0.4144,0.2568,404890,True,True
0,2069,2290,3,57056.254747,30.494,-13.05,10.88,0.52,9,9,-4.124e-07,3.439e-07,,,ec0915.150203.405989_ooi_g_ls9_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,123,g,TEMPLATE,t,1.1396,1.047,0.046,4.315,22.315,5516.0,-0.4124,0.3439,405989,True,True
0,2069,2290,3,57056.263019,30.494,,,,0,0,,,,,ec0915.150203.405993_ooi_g_ls9_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,127,g,TEMPLATE,t,1.1428,0.985,0.046,4.623,22.217,5836.0,,,405993,False,True
0,2069,2290,3,57077.402214,30.494,1.62,18.19,1.38,9,9,5.127e-08,5.749e-07,,,ec0915.150224.413818_ooi_g_v1_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,131,g,TEMPLATE,t,0.9775,1.043,0.038,5.988,21.415,13087.0,0.05127,0.5749,413818,True,True
0,2069,2290,3,57083.228154,30.494,19.7,7.71,0.75,9,9,6.226e-07,2.436e-07,,,ec0915.150302.417212_ooi_g_v1_N26_160306.523730_ooi_g_v1_N26.diff.fits,0x0000,132,g,TEMPLATE,t,1.0868,1.027,0.06,4.729,22.528,2897.0,0.6225999999999999,0.2435999999999999,417212,True,True
